Time, Activation By Channel (% of MVC)
204.098000, -1.986479E-2, 1.398929E+0
204.099000, 2.094561E-2, 1.409125E+0
204.100000, 3.114822E-2, 1.409125E+0
204.101000, 6.175602E-2, 1.398929E+0
204.102000, 1.025664E-1, 1.398929E+0
204.103000, 1.229716E-1, 1.409125E+0
204.104000, 5.155342E-2, 1.398929E+0
, , 
204.105000, 1.331742E-1, 1.398929E+0
204.106000, 1.739846E-1, 1.409125E+0
204.107000, 1.229716E-1, 1.398929E+0
204.108000, -9.662192E-3, 1.398929E+0
204.109000, -6.067520E-2, 1.398929E+0
204.110000, 7.195862E-2, 1.409125E+0
204.111000, 3.066185E-1, 1.398929E+0
204.112000, 3.576315E-1, 1.409125E+0
204.113000, 1.433768E-1, 1.409125E+0
204.114000, -1.422960E-1, 1.398929E+0
204.115000, -2.239168E-1, 1.398929E+0
204.116000, -4.027000E-2, 1.409125E+0
204.117000, 3.114822E-2, 1.398929E+0
204.118000, 3.114822E-2, 1.398929E+0
204.119000, 4.135082E-2, 1.409125E+0
204.120000, 9.236383E-2, 1.398929E+0
204.121000, 6.175602E-2, 1.409125E+0
204.122000, 4.135082E-2, 1.409125E+0
204.123000, 7.195862E-2, 1.409125E+0
204.124000, 9.236383E-2, 1.398929E+0
204.125000, 1.127690E-1, 1.398929E+0
204.126000, 1.331742E-1, 1.409125E+0
204.127000, 1.637820E-1, 1.398929E+0
204.128000, 1.637820E-1, 1.398929E+0
204.129000, 5.404097E-4, 1.409125E+0
204.130000, -9.662192E-3, 1.409125E+0
204.131000, 4.135082E-2, 1.398929E+0
204.132000, 1.433768E-1, 1.409125E+0
204.133000, 1.535794E-1, 1.409125E+0
204.134000, 2.094561E-2, 1.398929E+0
204.135000, 8.216122E-2, 1.398929E+0
204.136000, 6.175602E-2, 1.409125E+0
204.137000, 1.331742E-1, 1.409125E+0
, , 
204.138000, 1.331742E-1, 1.398929E+0
204.139000, 7.195862E-2, 1.398929E+0
204.140000, 1.025664E-1, 1.398929E+0
204.141000, 2.094561E-2, 1.398929E+0
204.142000, 5.404097E-4, 1.409125E+0
204.143000, 6.175602E-2, 1.398929E+0
204.144000, 9.236383E-2, 1.398929E+0
204.145000, 1.331742E-1, 1.409125E+0
204.146000, 2.094561E-2, 1.409125E+0
204.147000, 5.404097E-4, 1.398929E+0
204.148000, 1.433768E-1, 1.409125E+0
204.149000, 1.535794E-1, 1.398929E+0
204.150000, 6.175602E-2, 1.409125E+0
204.151000, -4.027000E-2, 1.409125E+0
204.152000, 1.025664E-1, 1.398929E+0
204.153000, 2.094561E-2, 1.409125E+0
204.154000, -3.006740E-2, 1.398929E+0
204.155000, 5.155342E-2, 1.398929E+0
204.156000, 1.025664E-1, 1.409125E+0
204.157000, 1.074301E-2, 1.398929E+0
204.158000, 5.155342E-2, 1.398929E+0
204.159000, 4.135082E-2, 1.409125E+0
204.160000, 6.175602E-2, 1.398929E+0
204.161000, 6.175602E-2, 1.409125E+0
204.162000, 6.175602E-2, 1.398929E+0
204.163000, 6.175602E-2, 1.409125E+0
204.164000, 1.025664E-1, 1.398929E+0
204.165000, 1.127690E-1, 1.398929E+0
204.166000, 1.025664E-1, 1.409125E+0
204.167000, 9.236383E-2, 1.398929E+0
204.168000, -3.006740E-2, 1.398929E+0
204.169000, 1.331742E-1, 1.409125E+0
204.170000, 1.127690E-1, 1.398929E+0
, , 
204.171000, 1.127690E-1, 1.409125E+0
204.172000, 2.045924E-1, 1.398929E+0
204.173000, 7.195862E-2, 1.409125E+0
204.174000, 6.175602E-2, 1.398929E+0
204.175000, 7.195862E-2, 1.409125E+0
204.176000, 7.195862E-2, 1.409125E+0
204.177000, 1.535794E-1, 1.398929E+0
204.178000, 2.658081E-1, 1.398929E+0
204.179000, 2.658081E-1, 1.398929E+0
204.180000, 1.229716E-1, 1.398929E+0
204.181000, -2.035116E-1, 1.398929E+0
204.182000, 7.195862E-2, 1.398929E+0
204.183000, 2.249977E-1, 1.398929E+0
204.184000, 2.352003E-1, 1.398929E+0
204.185000, 1.739846E-1, 1.398929E+0
204.186000, 7.195862E-2, 1.409125E+0
