Time (s), Activation By Channel (% of MVC)
204.117000, 3.475759E-2, 4.461936E-3
204.118000, 3.629305E-2, 3.127563E-3
204.119000, 4.550699E-2, 6.643805E-3
204.120000, 8.566776E-2, 3.920062E-3
204.121000, 4.213520E-2, 5.959999E-3
204.122000, 1.800530E-2, 4.146423E-3
204.123000, 4.346310E-2, 2.625774E-3
204.124000, 5.138616E-2, 7.281796E-3
204.125000, 5.477205E-2, 5.461581E-3
204.126000, 5.449390E-2, 4.745345E-3
204.127000, 5.998687E-2, 5.430414E-3
204.128000, 3.447172E-2, 3.857950E-3
204.129000, 1.249822E-1, 6.121007E-3
204.130000, 1.050242E-1, 4.387440E-3
204.131000, 3.424949E-2, 5.721486E-3
204.132000, 6.150400E-2, 4.560111E-3
204.133000, 4.958986E-2, 3.098189E-3
204.134000, 8.282405E-2, 6.768287E-3
204.135000, 1.017483E-2, 4.922708E-3
204.136000, 2.676345E-2, 5.295687E-3
204.137000, 4.041349E-2, 3.770321E-3
, , 
204.138000, 2.627632E-2, 6.159263E-3
204.139000, 3.724186E-2, 4.375922E-3
204.140000, 3.522847E-3, 2.869455E-3
204.141000, 7.439411E-2, 1.613992E-3
204.142000, 6.996600E-2, 8.066194E-3
204.143000, 6.116940E-3, 2.598485E-3
204.144000, 3.523733E-2, 1.477460E-3
204.145000, 6.377649E-2, 8.087047E-3
204.146000, 4.811644E-2, 5.975368E-3
204.147000, 4.822874E-2, 4.476138E-3
204.148000, 9.296573E-2, 5.497453E-3
204.149000, 7.828597E-2, 4.890065E-3
204.150000, 2.233195E-2, 5.143134E-3
204.151000, 1.024116E-1, 3.461953E-3
204.152000, 5.266661E-2, 6.595833E-3
204.153000, 2.816766E-2, 3.736128E-3
204.154000, 5.874995E-2, 6.326932E-3
204.155000, 3.502453E-2, 4.652775E-3
204.156000, 7.558741E-2, 5.418043E-3
204.157000, 1.946914E-2, 4.883509E-3
204.158000, 2.582057E-2, 3.426296E-3
204.159000, 1.423955E-2, 6.448045E-3
204.160000, 3.141687E-2, 4.030586E-3
204.161000, 2.512377E-2, 5.918948E-3
204.162000, 1.940509E-2, 4.490146E-3
204.163000, 1.425243E-2, 5.523440E-3
204.164000, 4.428022E-2, 4.826910E-3
204.165000, 3.750922E-2, 3.410761E-3
204.166000, 1.300505E-2, 6.429573E-3
204.167000, 5.973781E-3, 4.076654E-3
204.168000, 1.153805E-1, 2.799983E-3
204.169000, 5.298202E-2, 6.916311E-3
204.170000, 1.549147E-2, 3.699469E-3
, , 
204.171000, 4.485746E-3, 6.132253E-3
204.172000, 7.357700E-2, 4.376832E-3
204.173000, 7.140325E-2, 5.553105E-3
204.174000, 6.955390E-2, 4.865982E-3
204.175000, 4.837025E-2, 5.146007E-3
204.176000, 3.996579E-2, 3.452367E-3
204.177000, 3.695296E-2, 6.610609E-3
204.178000, 1.163871E-1, 4.928990E-3
204.179000, 7.244455E-2, 3.495726E-3
204.180000, 8.471355E-2, 2.288025E-3
204.181000, 3.507953E-1, 1.284197E-3
204.182000, 1.556137E-2, 4.636538E-4
204.183000, 1.233894E-1, 1.930987E-4
204.184000, 9.714661E-2, 7.044561E-4
204.185000, 1.332081E-2, 1.087729E-3
204.186000, 8.237485E-2, 1.001020E-2
204.187000, 3.032548E-1, 1.306056E-3
204.188000, 8.383109E-2, 7.386246E-4
204.189000, 1.934037E-3, 2.887881E-4
204.190000, 4.841363E-2, 5.797937E-5
204.191000, 9.909142E-2, 3.151764E-4
204.192000, 1.329140E-1, 4.952915E-4
204.193000, 4.006879E-2, 9.260883E-3
204.194000, 4.175215E-2, 2.170565E-3
204.195000, 5.066641E-2, 1.681125E-3
204.196000, 4.688362E-2, 1.276393E-3
204.197000, 5.124567E-2, 9.459920E-4
204.198000, 1.043411E-1, 6.803859E-4
204.199000, 6.853549E-2, 8.180211E-3
204.200000, 1.272265E-2, 5.501754E-3
204.201000, 5.388072E-2, 5.393264E-3
204.202000, 1.161121E-1, 4.404293E-3
204.203000, 1.646151E-1, 5.113840E-3
, , 
204.204000, 1.266154E-2, 5.621584E-3
204.205000, 5.916839E-3, 4.492500E-3
204.206000, 2.602598E-2, 5.147022E-3
204.207000, 4.824719E-3, 5.484886E-3
204.208000, 2.775665E-2, 4.269232E-3
204.209000, 6.267428E-4, 3.210141E-3
204.210000, 7.195286E-4, 2.295371E-3
204.211000, 3.391391E-2, 7.137906E-3
204.212000, 2.396640E-3, 4.958998E-3
204.213000, 4.486220E-2, 3.145081E-3
204.214000, 2.906974E-2, 6.992479E-3
204.215000, 2.814591E-2, 3.303886E-3
204.216000, 3.455732E-2, 1.892456E-3
204.217000, 8.770730E-2, 7.894853E-3
204.218000, 1.556572E-1, 5.947856E-3
204.219000, 3.371506E-2, 4.262650E-3
204.220000, 1.398642E-2, 2.819015E-3
204.221000, 1.811744E-1, 1.597293E-3
204.222000, 5.928018E-2, 5.784186E-4
204.223000, 2.654134E-3, 8.907107E-3
204.224000, 7.383154E-2, 1.915985E-3
204.225000, 7.443505E-2, 9.222804E-4
204.226000, 1.452667E-2, 8.541342E-3
204.227000, 3.413083E-2, 2.300017E-3
204.228000, 2.320714E-2, 1.320679E-3
204.229000, 1.247075E-1, 8.132642E-3
204.230000, 1.058794E-1, 2.714883E-3
204.231000, 2.518014E-2, 1.737591E-3
204.232000, 8.404062E-2, 9.333441E-4
204.233000, 1.399261E-1, 8.366972E-3
204.234000, 7.806081E-2, 2.612584E-3
204.235000, 2.031618E-2, 1.747528E-3
204.236000, 1.476633E-2, 7.614086E-3
, , 
204.237000, 4.930631E-2, 5.347029E-3
204.238000, 8.178259E-2, 3.433413E-3
204.239000, 5.909651E-2, 1.840082E-3
204.240000, 6.115344E-3, 8.115602E-3
204.241000, 2.885174E-3, 2.329419E-3
204.242000, 9.877775E-4, 7.612650E-3
204.243000, 3.476909E-2, 2.838722E-3
204.244000, 4.067765E-2, 7.103629E-3
204.245000, 6.937167E-2, 5.309591E-3
204.246000, 4.365140E-2, 4.878424E-3
204.247000, 4.027001E-2, 5.310212E-3
204.248000, 6.157101E-2, 3.745712E-3
204.249000, 1.313454E-2, 6.229182E-3
204.250000, 2.382697E-2, 4.156510E-3
204.251000, 1.091009E-1, 2.773368E-3
204.252000, 3.613348E-2, 7.035463E-3
204.253000, 3.516635E-2, 3.501422E-3
204.254000, 5.869738E-2, 2.255070E-3
204.255000, 7.250326E-2, 7.430878E-3
204.256000, 1.476074E-1, 5.435534E-3
204.257000, 6.375429E-2, 4.905775E-3
204.258000, 1.594131E-2, 5.171032E-3
204.259000, 3.329464E-1, 3.530136E-3
204.260000, 3.625353E-1, 6.491246E-3
204.261000, 1.074435E-1, 4.778224E-3
204.262000, 4.307712E-3, 5.328275E-3
204.263000, 6.326876E-3, 4.941038E-3
204.264000, 1.137005E-2, 3.455187E-3
204.265000, 5.117276E-2, 6.444120E-3
204.266000, 1.049993E-1, 4.637842E-3
204.267000, 1.228857E-1, 5.536922E-3
204.268000, 7.899062E-2, 3.965456E-3
204.269000, 7.011866E-2, 6.011097E-3
, , 
204.270000, 6.057024E-2, 4.376819E-3
204.271000, 1.268242E-3, 5.652523E-3
204.272000, 1.447120E-2, 3.964007E-3
204.273000, 9.942241E-3, 2.546531E-3
204.274000, 2.755234E-2, 1.373529E-3
204.275000, 5.671261E-2, 8.231242E-3
204.276000, 4.939918E-2, 2.501465E-3
204.277000, 7.282286E-3, 1.440893E-3
204.278000, 2.345371E-2, 8.070787E-3
204.279000, 7.389241E-3, 2.737217E-3
204.280000, 3.273216E-3, 6.915383E-3
204.281000, 8.782636E-3, 4.891859E-3
204.282000, 9.159513E-2, 5.471721E-3
204.283000, 8.161696E-2, 4.589204E-3
204.284000, 1.134444E-1, 2.939078E-3
204.285000, 1.214994E-1, 1.566234E-3
204.286000, 1.835759E-2, 8.207606E-3
204.287000, 2.326108E-1, 2.384694E-3
204.288000, 2.650265E-1, 7.440836E-3
204.289000, 1.033807E-1, 3.099898E-3
204.290000, 9.327224E-4, 1.874121E-3
204.291000, 1.200464E-1, 8.730356E-4
204.292000, 1.488953E-1, 8.578684E-3
204.293000, 9.354949E-2, 2.289121E-3
204.294000, 1.421611E-2, 1.346612E-3
204.295000, 1.222906E-1, 5.879493E-4
204.296000, 2.328793E-1, 8.659238E-3
204.297000, 6.790532E-2, 6.272902E-3
204.298000, 2.901778E-3, 4.413090E-3
204.299000, 2.883216E-2, 5.363607E-3
204.300000, 1.259257E-2, 5.185858E-3
204.301000, 4.460928E-2, 4.717652E-3
204.302000, 2.721294E-3, 2.936325E-3
, , 
204.303000, 2.479620E-2, 7.194772E-3
204.304000, 1.655187E-1, 5.563040E-3
204.305000, 6.058574E-2, 4.162836E-3
204.306000, 1.685513E-2, 2.972841E-3
204.307000, 3.632237E-2, 1.972875E-3
204.308000, 2.234547E-2, 7.507175E-3
204.309000, 6.564894E-3, 5.343271E-3
204.310000, 4.496290E-2, 5.132435E-3
204.311000, 2.774518E-2, 4.840971E-3
204.312000, 5.766846E-3, 3.124537E-3
204.313000, 3.325185E-2, 6.947585E-3
204.314000, 8.442746E-3, 5.263496E-3
204.315000, 2.698909E-2, 4.833002E-3
204.316000, 8.589085E-4, 3.220921E-3
204.317000, 4.708008E-2, 1.886625E-3
204.318000, 1.774065E-2, 7.849835E-3
204.319000, 2.150705E-2, 2.777293E-3
204.320000, 3.173993E-3, 7.017077E-3
204.321000, 1.218772E-2, 5.100766E-3
204.322000, 8.172188E-4, 5.185870E-3
204.323000, 1.854640E-2, 4.925763E-3
204.324000, 1.308070E-2, 3.303872E-3
204.325000, 2.622206E-2, 1.940286E-3
204.326000, 1.014835E-2, 7.840043E-3
204.327000, 6.811228E-3, 2.732986E-3
204.328000, 1.276122E-2, 7.121900E-3
204.329000, 7.767529E-3, 5.269218E-3
