Time (s), Activation By Channel (% of MVC)
54.139000, 2.088431E-2, 4.224558E-3
54.140000, 1.798236E-2, 2.952170E-3
54.141000, 2.380526E-2, 6.763296E-3
54.142000, 5.285795E-2, 4.800621E-3
54.143000, 4.517939E-2, 5.505249E-3
54.144000, 2.516491E-3, 4.609349E-3
54.145000, 2.305997E-2, 3.008153E-3
54.146000, 1.580552E-2, 1.678980E-3
54.147000, 1.779554E-2, 8.056801E-3
54.148000, 1.907544E-2, 6.083307E-3
54.149000, 2.838937E-2, 4.391518E-3
54.150000, 2.566556E-2, 5.694393E-3
54.151000, 4.027023E-2, 4.594953E-3
54.152000, 4.057616E-2, 5.522398E-3
, , 
54.153000, 2.174375E-2, 3.911618E-3
54.154000, 1.582767E-2, 2.561943E-3
54.155000, 2.077358E-3, 7.203857E-3
54.156000, 5.811407E-4, 5.268531E-3
54.157000, 9.355945E-3, 3.621732E-3
54.158000, 1.064040E-3, 2.237406E-3
54.159000, 3.018477E-4, 1.090653E-3
54.160000, 3.607204E-2, 8.493313E-3
