t0,5/2/2017  11:03:14.356096
delta t,0.001000

time,Y
5/2/2017  11:03:18.383096,2.777703
5/2/2017  11:03:18.384096,2.707770
5/2/2017  11:03:18.385096,2.705227
5/2/2017  11:03:18.386096,2.602234
5/2/2017  11:03:18.387096,2.726842
5/2/2017  11:03:18.388096,2.752273
5/2/2017  11:03:18.389096,2.574261
5/2/2017  11:03:18.390096,2.768802
5/2/2017  11:03:18.391096,2.717942
5/2/2017  11:03:18.392096,2.763716
5/2/2017  11:03:18.393096,2.675982
5/2/2017  11:03:18.394096,2.706498
5/2/2017  11:03:18.395096,2.584433
5/2/2017  11:03:18.396096,2.645465
5/2/2017  11:03:18.397096,2.656909
5/2/2017  11:03:18.398096,2.621307
5/2/2017  11:03:18.399096,2.632750
5/2/2017  11:03:18.400096,2.532301
5/2/2017  11:03:18.401096,2.527214
5/2/2017  11:03:18.402096,2.644194
5/2/2017  11:03:18.403096,2.682339
5/2/2017  11:03:18.404096,2.664538
5/2/2017  11:03:18.405096,2.692511
5/2/2017  11:03:18.406096,2.674710
5/2/2017  11:03:18.407096,2.656909
5/2/2017  11:03:18.408096,2.623850
5/2/2017  11:03:18.409096,2.756087
5/2/2017  11:03:18.410096,2.752273
5/2/2017  11:03:18.411096,2.631479
5/2/2017  11:03:18.412096,2.717942
5/2/2017  11:03:18.413096,2.595876
5/2/2017  11:03:18.414096,2.670896
5/2/2017  11:03:18.415096,2.589519
5/2/2017  11:03:18.416096,2.617492
5/2/2017  11:03:18.417096,2.616221
5/2/2017  11:03:18.418096,10.416966
5/2/2017  11:03:18.419096,10.416966
5/2/2017  11:03:18.420096,10.416966
5/2/2017  11:03:18.421096,10.417284
5/2/2017  11:03:18.422096,10.416966
5/2/2017  11:03:18.423096,10.416966
5/2/2017  11:03:18.424096,10.417284
5/2/2017  11:03:18.425096,10.416966
5/2/2017  11:03:18.426096,10.417284
5/2/2017  11:03:18.427096,10.417284
5/2/2017  11:03:18.428096,10.417284
5/2/2017  11:03:18.429096,10.417284
5/2/2017  11:03:18.430096,10.417284
5/2/2017  11:03:18.431096,10.417284
5/2/2017  11:03:18.432096,10.416966
5/2/2017  11:03:18.433096,10.417284
5/2/2017  11:03:18.434096,10.416966
5/2/2017  11:03:18.435096,10.416966
5/2/2017  11:03:18.436096,10.416966
5/2/2017  11:03:18.437096,10.417284
5/2/2017  11:03:18.438096,10.416966
5/2/2017  11:03:18.439096,10.416966
5/2/2017  11:03:18.440096,10.417284
5/2/2017  11:03:18.441096,10.417284
5/2/2017  11:03:18.442096,10.416966
5/2/2017  11:03:18.443096,10.417284
