Time (s), Activation By Channel (% of MVC)
0.328808, 3.102618E-3, 6.094930E-3
0.329808, 2.099270E-3, 4.461650E-3
0.330808, 1.268981E-3, 3.232643E-3
0.331808, 8.063243E-3, 2.210914E-3
0.332808, 2.897032E-3, 1.373949E-3
0.333808, 6.652152E-3, 7.006810E-4
0.334808, 4.107841E-3, 8.479593E-3
0.335808, 5.625404E-3, 2.607919E-3
0.336808, 4.966266E-3, 1.837988E-3
0.337808, 3.736582E-3, 1.209324E-3
0.338808, 2.691461E-3, 7.050699E-4
, , 
0.339808, 1.813176E-3, 3.096172E-4
0.340808, 1.084970E-3, 8.563638E-6
0.341808, 4.910430E-4, 8.862381E-3
0.342808, 8.640119E-3, 6.173329E-3
0.343808, 6.167409E-3, 4.749420E-3
0.344808, 4.578737E-3, 3.801843E-3
0.345808, 5.177500E-3, 2.986681E-3
0.346808, 5.383851E-3, 2.290771E-3
0.347808, 4.538468E-3, 6.949195E-3
0.348808, 2.781983E-3, 4.048445E-3
0.349808, 1.337124E-3, 5.486257E-3
0.350808, 1.714208E-4, 5.244266E-3
0.351808, 9.402508E-3, 4.530956E-3
0.352808, 7.258600E-3, 2.666502E-3
0.353808, 3.258502E-3, 1.141445E-3
0.354808, 6.640368E-3, 8.009819E-5
0.355808, 4.804375E-3, 9.683144E-3
0.356808, 3.234688E-3, 7.557718E-3
0.357808, 1.908673E-3, 2.950836E-3
0.358808, 7.852115E-3, 6.930686E-3
0.359808, 5.913561E-3, 5.074708E-3
0.360808, 4.269780E-3, 3.476881E-3
0.361808, 2.891904E-3, 6.534434E-3
0.362808, 6.903961E-3, 3.813875E-3
0.363808, 3.668239E-3, 6.256859E-3
0.364808, 6.201324E-3, 4.042114E-3
0.365808, 4.298607E-3, 2.582029E-3
0.366808, 3.015373E-3, 7.293564E-3
0.367808, 1.949001E-3, 3.186924E-3
0.368808, 1.076356E-3, 6.756534E-3
0.369808, 3.757455E-4, 4.987437E-3
0.370808, 1.731119E-4, 3.493573E-3
0.371808, 9.245768E-3, 6.403545E-3
, , 
0.372808, 1.951927E-3, 4.063308E-3
0.373808, 7.382016E-3, 5.889515E-3
0.374808, 3.571234E-3, 4.522606E-3
0.375808, 5.990331E-3, 3.167562E-3
0.376808, 4.752035E-3, 2.037340E-3
0.377808, 3.652818E-3, 1.108517E-3
0.378808, 5.937819E-3, 8.291967E-3
0.379808, 3.881546E-3, 6.042730E-3
0.380808, 2.168071E-3, 4.129360E-3
0.381808, 7.639957E-4, 2.521813E-3
0.382808, 3.625244E-4, 7.459751E-3
0.383808, 9.898403E-3, 2.950212E-3
0.384808, 7.717246E-3, 7.033880E-3
0.385808, 2.836521E-3, 3.370450E-3
0.386808, 1.630504E-3, 6.622251E-3
0.387808, 6.605300E-4, 3.770665E-3
0.388808, 8.757183E-3, 2.415009E-3
0.389808, 6.493048E-3, 1.300615E-3
0.390808, 4.111740E-3, 4.018864E-4
0.391808, 5.728631E-3, 8.956406E-3
0.392808, 4.796581E-3, 1.996046E-3
0.393808, 3.534306E-3, 1.129603E-3
0.394808, 2.484265E-3, 8.212385E-3
0.395808, 1.623123E-3, 5.908947E-3
0.396808, 7.727568E-3, 3.946033E-3
0.397808, 5.433047E-3, 2.293906E-3
0.398808, 3.486193E-3, 9.240170E-4
0.399808, 1.856378E-3, 1.909764E-4
0.400808, 5.141342E-4, 9.728239E-3
0.401808, 9.225460E-3, 1.080427E-3
0.402808, 7.234388E-3, 8.547931E-3
0.403808, 3.144192E-3, 2.171762E-3
0.404808, 1.778820E-3, 7.543382E-3
, , 
0.405808, 6.659379E-4, 3.091816E-3
0.406808, 2.212563E-4, 1.945660E-3
0.407808, 9.081590E-4, 7.640624E-3
0.408808, 1.418737E-3, 3.102819E-3
0.409808, 1.775514E-3, 2.045833E-3
0.410808, 1.065621E-2, 7.468806E-3
0.411808, 7.312561E-4, 5.320754E-3
0.412808, 8.417030E-3, 5.154415E-3
0.413808, 5.940663E-3, 3.843712E-3
0.414808, 4.825111E-3, 5.909814E-3
0.415808, 4.899823E-3, 3.985597E-3
0.416808, 5.700709E-3, 2.370109E-3
0.417808, 4.177858E-3, 7.616799E-3
0.418808, 2.375894E-3, 2.790141E-3
0.419808, 8.862274E-4, 1.456145E-3
0.420808, 8.978283E-3, 8.280653E-3
0.421808, 1.564924E-3, 2.346508E-3
0.422808, 3.589914E-4, 1.204397E-3
0.423808, 9.256983E-3, 8.367250E-3
0.424808, 7.155380E-3, 2.399977E-3
0.425808, 3.320447E-3, 1.374531E-3
0.426808, 2.039029E-3, 8.102141E-3
0.427808, 7.659674E-3, 5.910960E-3
0.428808, 5.647099E-3, 4.039745E-3
0.429808, 4.734409E-3, 6.190453E-3
0.430808, 3.354438E-3, 4.664382E-3
0.431808, 2.210680E-3, 3.373956E-3
0.432808, 1.277744E-3, 2.295617E-3
0.433808, 8.124883E-3, 1.407170E-3
0.434808, 5.864492E-3, 6.877611E-4
0.435808, 3.935984E-3, 8.533195E-3
0.436808, 2.310705E-3, 6.131933E-3
0.437808, 7.695561E-3, 4.559318E-3
, , 
0.438808, 2.702447E-3, 3.430817E-3
0.439808, 1.350337E-3, 2.479814E-3
0.440808, 8.410575E-3, 1.687902E-3
0.441808, 6.450698E-3, 1.037835E-3
0.442808, 3.888343E-3, 8.137549E-3
0.443808, 2.476558E-3, 5.711257E-3
0.444808, 1.311803E-3, 3.663544E-3
0.445808, 8.288048E-3, 1.959329E-3
0.446808, 2.464556E-3, 8.085985E-3
0.447808, 1.417696E-3, 6.362367E-3
0.448808, 5.719899E-4, 3.784541E-3
0.449808, 8.751876E-3, 6.419091E-3
0.450808, 6.420158E-3, 4.846623E-3
0.451808, 4.229787E-3, 5.156129E-3
0.452808, 5.584321E-3, 3.466271E-3
0.453808, 4.951487E-3, 6.582681E-3
0.454808, 4.969581E-3, 3.771746E-3
0.455808, 3.190121E-3, 6.258699E-3
0.456808, 1.705175E-3, 4.544888E-3
0.457808, 8.170224E-3, 3.081166E-3
0.458808, 2.348610E-3, 1.845884E-3
0.459808, 1.106875E-3, 8.182590E-4
0.460808, 1.022948E-4, 2.161084E-5
0.461808, 9.347333E-3, 9.343789E-3
0.462808, 7.111140E-3, 7.024378E-3
0.463808, 5.185982E-3, 3.604175E-3
0.464808, 3.545243E-3, 6.219454E-3
0.465808, 2.163458E-3, 4.356815E-3
0.466808, 7.640344E-3, 5.857387E-3
0.467808, 2.922366E-3, 4.310666E-3
0.468808, 6.956196E-3, 5.653766E-3
0.469808, 5.119780E-3, 4.735563E-3
0.470808, 3.564717E-3, 3.349748E-3
, , 
0.471808, 6.392553E-3, 6.467532E-3
0.472808, 4.622508E-3, 4.055683E-3
0.473808, 3.123360E-3, 2.791005E-3
0.474808, 6.786784E-3, 6.917351E-3
0.475808, 3.679724E-3, 3.703136E-3
0.476808, 2.370921E-3, 2.524657E-3
0.477808, 1.287236E-3, 1.543078E-3
0.478808, 4.056727E-4, 7.384744E-4
0.479808, 2.955468E-4, 9.198225E-5
0.480808, 8.369833E-4, 9.065254E-3
0.481808, 9.894632E-3, 6.607975E-3
0.482808, 1.325081E-3, 4.518186E-3
0.483808, 7.980514E-3, 2.762546E-3
0.484808, 3.006654E-3, 7.341833E-3
0.485808, 2.140422E-3, 2.967788E-3
0.486808, 1.426994E-3, 7.096761E-3
0.487808, 8.491155E-4, 3.244618E-3
0.488808, 8.265974E-3, 1.855337E-3
0.489808, 2.878442E-3, 7.928072E-3
0.490808, 2.139378E-3, 2.659740E-3
0.491808, 1.526111E-3, 1.484307E-3
0.492808, 1.024335E-3, 5.353474E-4
0.493808, 8.035891E-3, 2.127062E-4
